date,pm25_kor_df,pm10_kor_df,o3_kor_df,no2_kor_df,so2_kor_df,co_kor_df,pm25_china_df,pm10_china_df,o3_china_df,no2_china_df,so2_china_df,co_china_df,Wind Speed(m/s),Humidity(%)
2016-07-28,93.3125,46.125,35.3125,30.875,8.875,6.5625,90.47368421052632,46.473684210526315,52.63157894736842,11.947368421052632,5.473684210526316,7.526315789473684,2.7210526315789476,81.23684210526316
2016-07-29,93.4,42.13333333333333,44.06666666666667,24.133333333333333,8.333333333333334,4.866666666666666,87.89473684210526,46.10526315789474,49.526315789473685,13.68421052631579,5.7894736842105265,8.368421052631579,2.405263157894737,85.06315789473685
2016-07-30,83.0,41.8,45.53333333333333,20.266666666666666,11.2,5.533333333333333,87.47368421052632,42.89473684210526,50.10526315789474,15.578947368421053,6.2105263157894735,8.473684210526315,1.9368421052631577,84.00526315789473
2016-07-31,82.2,38.666666666666664,38.4,25.4,10.0,5.266666666666667,87.0,46.26315789473684,52.63157894736842,15.157894736842104,5.684210526315789,8.631578947368421,1.6157894736842104,83.5578947368421
2016-08-01,82.8,37.4,32.733333333333334,28.533333333333335,7.866666666666666,6.4,96.26315789473684,46.10526315789474,52.31578947368421,14.68421052631579,5.842105263157895,7.894736842105263,1.5421052631578949,83.8578947368421
2016-08-02,76.13333333333334,36.46666666666667,53.06666666666667,32.2,8.333333333333334,7.4,99.15789473684211,50.68421052631579,56.68421052631579,15.052631578947368,5.315789473684211,8.368421052631579,1.305263157894737,85.80526315789473
2016-08-03,70.8125,43.4375,59.625,30.875,7.4375,7.1875,100.27777777777777,42.05555555555556,50.833333333333336,12.944444444444445,6.277777777777778,7.777777777777778,1.4684210526315788,82.3157894736842
2016-08-04,83.5625,44.25,75.625,33.4375,8.4375,6.5625,81.63157894736842,38.94736842105263,50.21052631578947,14.052631578947368,6.526315789473684,7.473684210526316,1.7,79.44736842105263
2016-08-05,86.11764705882354,51.76470588235294,83.70588235294117,32.05882352941177,10.058823529411764,6.647058823529412,73.84210526315789,44.94736842105263,46.31578947368421,15.263157894736842,6.052631578947368,8.0,1.605263157894737,77.5421052631579
2016-08-06,107.0,42.9375,62.5625,25.8125,10.9375,6.125,84.10526315789474,44.8421052631579,42.05263157894737,13.789473684210526,5.368421052631579,8.368421052631579,1.5315789473684212,77.89473684210526
2016-08-07,85.94117647058823,45.88235294117647,67.82352941176471,31.823529411764707,11.294117647058824,6.764705882352941,91.83333333333333,49.0,52.94444444444444,13.444444444444445,6.055555555555555,8.555555555555555,1.631578947368421,78.08421052631579
2016-08-08,91.58823529411765,40.35294117647059,68.41176470588235,30.470588235294116,7.705882352941177,6.294117647058823,102.11764705882354,49.411764705882355,45.11764705882353,15.588235294117647,5.9411764705882355,8.529411764705882,1.894736842105263,78.59473684210526
2016-08-09,83.66666666666667,51.4,68.4,35.13333333333333,12.333333333333334,6.533333333333333,96.23529411764706,44.76470588235294,52.470588235294116,14.294117647058824,5.9411764705882355,7.647058823529412,1.9947368421052631,79.6421052631579
2016-08-10,103.1875,44.625,77.3125,34.5,11.1875,6.5625,84.88235294117646,46.294117647058826,60.588235294117645,14.352941176470589,6.529411764705882,7.294117647058823,1.763157894736842,79.08947368421053
2016-08-11,89.6875,47.8125,73.625,33.3125,10.3125,6.875,85.83333333333333,44.888888888888886,59.333333333333336,14.444444444444445,7.222222222222222,7.944444444444445,1.7473684210526317,76.48421052631579
2016-08-12,100.6875,44.1875,52.5,27.0,10.4375,6.0,88.83333333333333,44.833333333333336,55.666666666666664,15.11111111111111,7.388888888888889,8.722222222222221,1.9421052631578946,77.62631578947368
2016-08-13,92.25,44.625,47.0625,20.3125,9.6875,5.875,85.38888888888889,49.388888888888886,58.111111111111114,16.38888888888889,6.944444444444445,8.88888888888889,2.0473684210526315,77.08421052631579
2016-08-14,94.875,45.125,53.8125,24.875,9.6875,6.875,92.17647058823529,52.8235294117647,58.529411764705884,14.235294117647058,6.705882352941177,9.176470588235293,1.857894736842105,80.38947368421053
2016-08-15,88.75,47.625,67.6875,33.8125,10.0625,7.4375,96.52941176470588,48.294117647058826,67.76470588235294,14.529411764705882,7.823529411764706,8.470588235294118,1.7473684210526317,79.74736842105263
2016-08-16,85.88235294117646,47.705882352941174,67.47058823529412,33.294117647058826,9.411764705882353,7.352941176470588,90.77777777777777,55.888888888888886,70.38888888888889,17.333333333333332,7.555555555555555,9.222222222222221,1.868421052631579,76.73684210526316
2016-08-17,92.6875,49.9375,74.5625,37.5625,10.25,6.8125,107.66666666666667,53.77777777777778,63.77777777777778,16.38888888888889,7.777777777777778,9.666666666666666,1.5894736842105264,76.0
2016-08-18,92.6875,51.8125,75.6875,39.0625,11.1875,6.6875,109.66666666666667,49.333333333333336,59.888888888888886,16.166666666666668,7.388888888888889,9.0,1.8473684210526315,77.06315789473685
2016-08-19,103.75,44.875,66.9375,32.4375,8.3125,6.375,95.05555555555556,52.94444444444444,72.0,15.666666666666666,7.666666666666667,8.38888888888889,1.8157894736842106,77.85263157894737
2016-08-20,87.6875,36.875,61.5625,25.5,8.6875,5.9375,101.61111111111111,55.27777777777778,76.77777777777777,16.166666666666668,7.222222222222222,9.0,1.9263157894736842,74.61052631578947
2016-08-21,73.625,42.8125,63.25,33.625,10.0,7.1875,107.88888888888889,48.72222222222222,71.94444444444444,13.944444444444445,6.833333333333333,7.222222222222222,1.9105263157894736,73.77368421052631
2016-08-22,81.46666666666667,40.266666666666666,51.8,31.0,10.933333333333334,5.866666666666666,93.22222222222223,40.05555555555556,42.888888888888886,13.0,5.888888888888889,6.777777777777778,1.9736842105263157,75.56315789473685
2016-08-23,75.875,37.9375,55.0625,33.125,9.75,5.625,73.44444444444444,45.5,56.111111111111114,15.444444444444445,6.5,7.611111111111111,1.8789473684210527,76.75263157894737
2016-08-24,73.5625,39.8125,58.4375,33.8125,10.5625,6.4375,74.33333333333333,47.666666666666664,63.22222222222222,15.222222222222221,7.833333333333333,8.722222222222221,1.8526315789473686,72.14736842105263
2016-08-25,75.375,28.625,34.125,25.9375,6.0,5.25,84.61111111111111,50.166666666666664,60.333333333333336,17.333333333333332,9.0,8.61111111111111,1.9526315789473685,75.71052631578948
2016-08-26,52.9375,24.75,35.0625,22.75,7.1875,4.25,89.5,50.0,64.11111111111111,17.0,9.11111111111111,7.722222222222222,3.0210526315789474,78.46842105263158
2016-08-27,39.5,19.9375,27.1875,17.5625,6.25,5.25,92.77777777777777,55.666666666666664,73.88888888888889,18.88888888888889,9.5,8.0,2.8526315789473684,68.51052631578948
2016-08-28,33.0625,23.6875,30.8125,22.3125,6.8125,5.375,104.55555555555556,56.388888888888886,64.22222222222223,16.944444444444443,8.666666666666666,8.444444444444445,3.1631578947368424,80.58947368421053
2016-08-29,36.4375,36.0625,31.1875,24.5,7.6875,5.875,109.11111111111111,60.44444444444444,75.11111111111111,19.88888888888889,8.5,8.666666666666666,2.994736842105263,71.0421052631579
2016-08-30,53.88235294117647,37.1764705882353,52.8235294117647,19.941176470588236,8.764705882352942,5.529411764705882,109.33333333333333,69.83333333333333,70.38888888888889,23.38888888888889,9.38888888888889,10.0,3.905263157894737,71.13157894736842
2016-08-31,55.529411764705884,58.64705882352941,87.17647058823529,31.941176470588236,9.352941176470589,7.176470588235294,126.94444444444444,62.94444444444444,62.611111111111114,17.833333333333332,8.88888888888889,9.944444444444445,5.347368421052631,74.0
2016-09-01,110.0625,36.6875,51.9375,30.8125,8.75,6.75,124.72222222222223,59.0,66.5,17.833333333333332,8.38888888888889,9.555555555555555,3.7473684210526317,75.3736842105263
2016-09-02,77.3529411764706,26.58823529411765,46.35294117647059,27.88235294117647,9.764705882352942,6.647058823529412,112.11111111111111,54.166666666666664,50.111111111111114,19.38888888888889,7.833333333333333,9.722222222222221,2.694736842105263,85.77894736842104
2016-09-03,58.529411764705884,36.23529411764706,39.705882352941174,26.176470588235293,9.117647058823529,7.235294117647059,112.33333333333333,47.388888888888886,54.05555555555556,17.444444444444443,6.5,8.555555555555555,1.9789473684210528,85.41052631578947
2016-09-04,73.88235294117646,40.64705882352941,44.0,30.470588235294116,9.764705882352942,7.235294117647059,99.38888888888889,55.111111111111114,71.16666666666667,20.77777777777778,7.388888888888889,9.555555555555555,1.8842105263157893,84.66315789473684
